Word,Translation,Level,Batch,Pronunciation,IPA,PoS,Meaning,Example,Example Tran.,Synonyms,Variants,Castilian,Tags,,,,,,,,,
la sandía,watermelon,10,1,,,,,,,,,,,,,,,,,,,
la piña,pineapple,10,1,,,,,,,,,,,,,,,,,,,
la pera,pear,10,1,,,,,,,,,,,,,,,,,,,
el durazno,peach,10,1,,,,,,,,,,,,,,,,,,,
la cantidad,quantity/amount,10,2,,,,,,,,,,,,,,,,,,,
suficiente,enough,10,2,,,,,,,,,,,,,,,,,,,
demasiado,too much/too many,10,2,,,,,,,,,,,,,,,,,,,
varios,several,10,2,,,,,,,,,,,,,,,,,,,
algunos,some,10,2,,,,,,,,,,,,,,,,,,,
nada,nothing,10,2,,,,,,,,,,,,,,,,,,,
algo,something,10,2,,,,,,,,,,,,,,,,,,,
cada,each/every,10,2,,,,,,,,,,,,,,,,,,,
algo,something,10,2,,,,,,,,,,,,,,,,,,,
la mitad,half,10,2,,,,,,,,,,,,,,,,,,,
bastante,quite/enough,10,2,,,,,,,,,,,,,,,,,,,
el oro,gold,10,2,,,,,,,,,,,,,,,,,,,
dormir,to sleep,10,3,,,,,,,,,,,,,,,,,,,
encontrar,to find,10,3,,,,,,,,,,,,,,,,,,,
perder,to lose,10,3,,,,,,,,,,,,,,,,,,,
morir,to die,10,3,,,,,,,,,,,,,,,,,,,
llamar,to call,10,3,,,,,,,,,,,,,,,,,,,
caer,to fall,10,3,,,,,,,,,,,,,,,,,,,
sentir,to feel/regret,10,3,,,,,,,,,,,,,,,,,,,
ganar,to win/gain/earn,10,3,,,,,,,,,,,,,,,,,,,
nacer,to be born,10,3,,,,,,,,,,,,,,,,,,,
llegar,to arrive,10,3,,,,,,,,,,,,,,,,,,,
lograr,"to get, obtain",10,3,,,,,,,,,,,,,,,,,,,
quedar,to stay/remain,10,3,,,,,,,,,,,,,,,,,,,
el mensaje,message,10,4,,,,,,,,,,,,,,,,,,,
el correo,email/mail,10,4,,,,,,,,,,,,,,,,,,,
el teléfono,phone,10,4,,,,,,,,,,,,,,,,,,,
la computadora,computer,10,4,,,,,,,,,,,,,,,,,,,
la aplicación,apple,10,4,,,,,,,,,,,,,,,,,,,
la contraseña,password,10,4,,,,,,,,,,,,,,,,,,,
la cuenta,account,10,4,,,,,,,,,,,,,,,,,,,
la pantalla,screen,10,4,,,,,,,,,,,,,,,,,,,
el botón,button,10,4,,,,,,,,,,,,,,,,,,,
el archivo,file,10,4,,,,,,,,,,,,,,,,,,,
recto,straight ahead,10,4,,,,,,,,,,,,,,,,,,,
el mapa,map,10,4,,,,,,,,,,,,,,,,,,,
